abandon	abandonment
abase	abasement
abash	abashment
abate	abatement
abdicate	abdication
abduct	abduction
aberrate	aberrance
aberrate	aberration
abet	abetment
abhor	abhorrence
abide	abidance
abjure	abjuration
ablate	ablation
abnegate	abnegation
abolish	abolishment
abolish	abolition
abominate	abomination
abort	abortion
about-face	about-face
abrade	abrasion
abreact	abreaction
abrogate	abrogation
abscise	abscission
abscond	abscondment
absent	absence
absolve	absolution
absorb	absorption
abstract	abstraction
abuse	abuse
accede	accession
accelerate	acceleration
accentuate	accentuation
accept	acceptance
accept	acceptation
access	access
access	accession
acclaim	acclaim
acclaim	acclamation
acclimate	acclimation
acclimatise	acclimatisation
acclimatize	acclimatization
accommodate	accommodation
accompany	accompaniment
accomplish	accomplishment
accord	accord
accord	accordance
accredit	accreditation
accrete	accretion
accrue	accrual
accrue	accruement
acculturate	acculturation
accumulate	accumulation
accuse	accusal
accuse	accusation
ace	ace
acetylate	acetylation
ache	ache
achieve	achievement
acidify	acidification
acknowledge	acknowledgment
acquiesce	acquiescence
acquire	acquisition
act	act
act	action
action	action
activate	activation
actualise	actualisation
actualize	actualization
actuate	actuation
adapt	adaptation
addict	addiction
address	address
adduct	adduction
adjoin	adjunction
adjourn	adjournment
adjure	adjuration
adjust	adjustment
administer	administration
admire	admiration
admit	admission
admonish	admonishment
admonish	admonition
adolesce	adolescence
adopt	adoption
adorn	adornment
adsorb	adsorption
advance	advance
advance	advancement
advect	advection
adventure	adventure
advert	advertence
advertise	advertisement
advertize	advertizement
advise	advisement
aerate	aeration
aestivate	aestivation
affect	affect
affiliate	affiliation
affirm	affirmation
affix	affixation
afflict	affliction
afforest	afforestation
affront	affront
age	age
agglutinate	agglutination
aggrandise	aggrandisement
aggrandize	aggrandizement
aggravate	aggravation
aggress	aggression
agree	agreement
aid	aid
aim	aim
airlift	airlift
alert	alert
align	alignment
aliment	alimentation
allege	allegement
alleviate	alleviation
alliterate	alliteration
allocate	allocation
allot	allotment
allow	allowance
allude	allusion
allure	allurement
ally	alliance
alphabetize	alphabetization
alter	alteration
alternate	alternation
amaze	amazement
amble	amble
ambulate	ambulation
ambuscade	ambuscade
ambush	ambush
ameliorate	amelioration
amend	amendment
americanise	americanisation
americanize	americanization
ammonify	ammonification
amnesty	amnesty
amortise	amortisation
amortize	amortization
amputate	amputation
amuse	amusement
anathematise	anathematisation
anathematise	anathematization
anathematize	anathematization
anger	anger
anguish	anguish
animadvert	animadversion
annihilate	annihilation
annotate	annotation
announce	announcement
annoy	annoyance
annul	annulment
anoint	anointment
answer	answer
antecede	antecedence
antic	antic
appeal	appeal
appear	apparition
appear	appearance
apperceive	apperception
apply	application
apportion	apportionment
appose	apposition
appraise	appraisal
apprehend	apprehension
apprise	apprisal
approach	approach
approbate	approbation
approbate	approval
approve	approbation
approve	approval
arbitrage	arbitrage
arbitrate	arbitrament
arbitrate	arbitration
arbitrate	arbitrement
argue	argument
argue	argumentation
arm	armament
arouse	arousal
arrest	arrest
arrive	arrival
arrogate	arrogation
articulate	articulation
ascend	ascension
ascribe	ascription
asperse	aspersion
asphyxiate	asphyxiation
aspirate	aspiration
assassinate	assassination
assault	assault
assay	assay
assent	assent
assert	assertion
assess	assessment
asseverate	asseveration
assibilate	assibilation
assign	assignation
assign	assignment
assimilate	assimilation
assist	assist
assist	assistance
associate	association
assonate	assonance
assort	assortment
assuage	assuagement
assume	assumption
assure	assurance
astonish	astonishment
atomise	atomisation
atomize	atomization
atone	atonement
atrophy	atrophy
attach	attachment
attack	attack
attain	attainment
attempt	attempt
attend	attendance
attend	attention
attenuate	attenuation
attest	attestation
attract	attraction
attract	attractor
attribute	attribution
auction	auction
audit	audit
audition	audition
augment	augmentation
auscultate	auscultation
authenticate	authentication
authorise	authorisation
authorize	authorization
automate	automation
autopsy	autopsy
avalanche	avalanche
aver	averment
avert	aversion
aviate	aviation
avoid	avoidance
avow	avowal
avulse	avulsion
awe	awe
baa	baa
backfire	backfire
background	background
backhand	backhand
backlash	backlash
bag	bag
bail	bailment
balance	balance
ballot	ballot
ballyhoo	ballyhoo
ban	ban
bang	bang
banish	banishment
bank	bank
banter	banter
bar	bar
barbarise	barbarisation
barbarize	barbarization
barbecue	barbecue
bark	bark
bar_mitzvah	bar_mitzvah
barrage	barrage
barter	barter
bash	bash
bastardise	bastardisation
bastardize	bastardization
bath	bath
bathe	bathe
bat_mitzvah	bat_mitzvah
battle	battle
bay	bay
beat	beat
beatify	beatification
beautify	beautification
bedevil	bedevilment
beef	beef
beep	beep
befoul	befoulment
belch	belch
bell	bell
bellow	bellow
belly_dance	belly_dance
belt	belt
bemuse	bemusement
benefact	benefaction
beneficiate	beneficiation
bereave	bereavement
bestow	bestowal
bestow	bestowment
bet	bet
betray	betrayal
betroth	betrothal
better	better
better	betterment
bicker	bicker
bid	bid
biff	biff
bifurcate	bifurcation
billow	billow
binge	binge
bioassay	bioassay
birdie	birdie
birr	birr
birth	birth
bisect	bisection
bitch	bitch
bite	bite
blackball	blackball
blackmail	blackmail
black_market	black_market
blame	blame
blandish	blandishment
blare	blare
blast	blast
blather	blather
blaze	blaze
bleach	bleach
bleat	bleat
bleep	bleep
blend	blend
blether	blether
blight	blight
blink	blink
blitz	blitz
bloat	bloat
blockade	blockade
block	block
bloom	bloom
blossom	blossom
blow	blow
bluff	bluff
blunder	blunder
blush	blush
bluster	bluster
boast	boast
bob	bob
bogey	bogey
boil	boil
bolt	bolt
bombard	bombardment
bomb	bomb
bombilate	bombilation
bombinate	bombination
boo	boo
boom	boom
boomerang	boomerang
boondoggle	boondoggle
boost	boost
boot	boot
botch	botch
bother	bother
bother	botheration
bounce	bounce
bound	bound
bow	bow
bowdlerise	bowdlerisation
bowdlerize	bowdlerization
box	box
boycott	boycott
brachiate	brachiation
brag	brag
brandish	brandish
bravo	bravo
brawl	brawl
bray	bray
breach	breach
break	break
break_dance	break_dance
breakfast	breakfast
breathe	breather
breeze	breeze
broil	broil
browse	browse
bruise	bruise
brunch	brunch
brush	brush
brutalise	brutalisation
brutalize	brutalization
bump	bump
bunco	bunco
bungle	bungle
bunt	bunt
burden	burden
burlesque	burlesque
burn	burn
burp	burp
burst	burst
bury	burial
buss	buss
bust	bust
bustle	bustle
buy	buy
buzz	buzz
cabal	cabal
cachinnate	cachinnation
cackle	cackle
cakewalk	cakewalk
calcify	calcification
calcine	calcination
calculate	calculation
calibrate	calibration
call	call
call_up	call_up
calm	calm
camouflage	camouflage
campaign	campaign
canal	canalisation
canal	canalization
canalise	canalisation
canalize	canalization
cancel	cancellation
canker	canker
cannonade	cannonade
cannon	cannon
cannulate	cannulation
cannulate	cannulisation
cannulate	cannulization
cannulate	canulisation
cannulate	canulization
cannulise	cannulization
cannulize	cannulisation
canonise	canonisation
canonize	canonization
canter	canter
cantillate	cantillation
canulate	canulation
canvass	canvass
caper	caper
capitalise	capitalisation
capitalize	capitalization
capitulate	capitulation
captivate	captivation
capture	capture
carbonate	carbonation
carbonise	carbonisation
carbonize	carbonization
care	care
careen	careen
caress	caress
carom	carom
carouse	carousal
carouse	carouse
carry	carry
carry_over	carry-over
cartwheel	cartwheel
cast	cast
castigate	castigation
castle	castle
castrate	castration
catalog	catalog
catalogue	catalogue
catcall	catcall
catch	catch
categorize	categorization
caterwaul	caterwaul
catnap	catnap
caucus	caucus
cause	causation
cause	cause
cauterise	cauterisation
cauterize	cauterization
caution	caution
cave_in	cave_in
cavil	cavil
caw	caw
cease	cease
cease	cessation
cede	cession
celebrate	celebration
censure	censure
census	census
centralise	centralisation
centralize	centralization
centrifuge	centrifugation
cerebrate	cerebration
certify	certification
chagrin	chagrin
challenge	challenge
chance	chance
change	change
change_over	changeover
channel	channelisation
channel	channelization
channelise	channelisation
channelize	channelization
